ID,VP Index,Mediana,L_R,ID_Parent,L_kid,R_kid,L_kid_N,R_kid_N,Left Bound,Right Bound
0,37,4.41036,0,-1,1,60,59,60,4.26267,4.55804
1,13,2.21407,-1,0,2,30,28,30,2.07782,2.28457
2,56,1.18839,-1,1,3,16,13,14,1.12741,1.24937
3,14,0.86111,-1,2,4,9,5,7,0.714655,0.874425
4,5,0.368219,-1,3,5,6,1,3,0.24195,0.549276
5,28,0,-1,4,-1,-1,0,0,0,0
6,34,0.83566,1,4,-1,7,0,2,0,0.958657
7,51,0.359996,1,6,-1,8,0,1,0,0.719992
8,26,0,1,7,-1,-1,0,0,0,0
9,8,0.60236,1,3,10,12,2,4,0.437686,0.637928
10,38,0.129977,-1,9,-1,11,0,1,0,0.259954
11,33,0,1,10,-1,-1,0,0,0,0
12,17,1.41814,1,9,13,14,1,2,0.981408,1.85488
13,16,0,-1,12,-1,-1,0,0,0,0
14,40,0.0952982,1,12,-1,15,0,1,0,0.190596
15,41,0,1,14,-1,-1,0,0,0,0
16,10,0.876009,1,2,17,23,6,7,0.875362,0.876657
17,23,0.666118,-1,16,18,20,2,3,0.571845,0.760392
18,19,0.244384,-1,17,-1,19,0,1,0,0.488768
19,25,0,1,18,-1,-1,0,0,0,0
20,59,0.184584,1,17,-1,21,0,2,0,1.08157
21,39,0.451347,1,20,-1,22,0,1,0,0.902693
22,29,0,1,21,-1,-1,0,0,0,0
23,31,1.19552,1,16,24,26,2,4,0.986513,1.31974
24,27,0.511276,-1,23,-1,25,0,1,0,1.02255
25,58,0,1,24,-1,-1,0,0,0,0
26,30,0.673784,1,23,27,28,1,2,0.245925,1.10164
27,21,0,-1,26,-1,-1,0,0,0,0
28,11,0.684486,1,26,-1,29,0,1,0,1.36897
29,46,0,1,28,-1,-1,0,0,0,0
30,45,1.08132,1,1,31,45,14,15,1.07353,1.08912
31,20,0.706747,-1,30,32,38,6,7,0.589679,0.823815
32,7,0.563902,-1,31,33,35,2,3,0.282214,0.84559
33,35,0.0712796,-1,32,-1,34,0,1,0,0.142559
34,42,0,1,33,-1,-1,0,0,0,0
35,57,0.170129,1,32,-1,36,0,2,0,0.365771
36,48,0.267795,1,35,-1,37,0,1,0,0.53559
37,43,0,1,36,-1,-1,0,0,0,0
38,2,0.696021,1,31,39,41,2,4,0.672656,0.824183
39,4,0.142682,-1,38,-1,40,0,1,0,0.285364
40,36,0,1,39,-1,-1,0,0,0,0
41,105,0.600692,1,38,42,43,1,2,0.406038,0.795346
42,3,0,-1,41,-1,-1,0,0,0,0
43,1,0.337324,1,41,-1,44,0,1,0,0.674648
44,15,0,1,43,-1,-1,0,0,0,0
45,0,2.60071,1,30,46,52,6,8,2.41936,2.60119
46,18,0.534417,-1,45,47,49,2,3,0.365469,0.703365
47,49,0.274538,-1,46,-1,48,0,1,0,0.549075
48,6,0,1,47,-1,-1,0,0,0,0
49,22,2.51898,1,46,-1,50,0,2,0,3.8808
50,12,0.809377,1,49,-1,51,0,1,0,1.61875
51,54,0,1,50,-1,-1,0,0,0,0
52,50,0.577138,1,45,53,56,3,4,0.573278,0.580999
53,24,0.183932,-1,52,-1,54,0,2,0,0.620392
54,47,0.29795,1,53,-1,55,0,1,0,0.595899
55,32,0,1,54,-1,-1,0,0,0,0
56,55,1.24779,1,52,57,58,1,2,1.03115,1.46442
57,52,0,-1,56,-1,-1,0,0,0,0
58,44,0.432716,1,56,-1,59,0,1,0,0.865433
59,53,0,1,58,-1,-1,0,0,0,0
60,61,2.44892,1,0,61,90,29,30,2.44367,2.45416
61,95,1.02653,-1,60,62,75,13,15,1.00782,1.22023
62,109,0.56495,-1,61,63,68,5,7,0.498381,0.656878
63,80,0.440031,-1,62,64,65,1,3,0.320655,0.5497
64,98,0,-1,63,-1,-1,0,0,0,0
65,60,0.137348,1,63,-1,66,0,2,0,0.22448
66,73,0.055107,1,65,-1,67,0,1,0,0.110214
67,93,0,1,66,-1,-1,0,0,0,0
68,85,0.697502,1,62,69,71,2,4,0.479585,0.957496
69,92,0.180287,-1,68,-1,70,0,1,0,0.360574
70,119,0,1,69,-1,-1,0,0,0,0
71,102,1.44534,1,68,72,73,1,2,1.42903,1.46165
72,100,0,-1,71,-1,-1,0,0,0,0
73,63,0.286241,1,71,-1,74,0,1,0,0.572481
74,67,0,1,73,-1,-1,0,0,0,0
75,111,0.889303,1,61,76,82,6,8,0.760857,1.01675
76,72,0.43816,-1,75,77,79,2,3,0.433711,0.44261
77,112,0.372225,-1,76,-1,78,0,1,0,0.744451
78,110,0,1,77,-1,-1,0,0,0,0
79,65,0.480409,1,76,-1,80,0,2,0,0.570709
80,70,0.126343,1,79,-1,81,0,1,0,0.252686
81,83,0,1,80,-1,-1,0,0,0,0
82,104,1.22754,1,75,83,86,3,4,1.04066,1.41441
83,87,0.203789,-1,82,-1,84,0,2,0,1.1028
84,77,0.502215,1,83,-1,85,0,1,0,1.00443
85,101,0,1,84,-1,-1,0,0,0,0
86,116,1.14733,1,82,87,88,1,2,1.01789,1.27678
87,114,0,-1,86,-1,-1,0,0,0,0
88,81,0.500849,1,86,-1,89,0,1,0,1.0017
89,99,0,1,88,-1,-1,0,0,0,0
90,62,1.76197,1,60,91,105,14,15,1.74655,1.7774
91,68,0.541868,-1,90,92,98,6,7,0.52888,0.554856
92,108,0.446993,-1,91,93,95,2,3,0.432916,0.46107
93,106,0.262122,-1,92,-1,94,0,1,0,0.524245
94,69,0,1,93,-1,-1,0,0,0,0
95,82,0.428053,1,92,-1,96,0,2,0,0.601469
96,113,0.131006,1,95,-1,97,0,1,0,0.262012
