ID,VP Index,Mediana,L_R,ID_Parent,L_kid,R_kid,L_kid_N,R_kid_N,Left Bound,Right Bound
0,43,3.30655,0,-1,1,60,59,60,3.30557,3.30753
1,18,1.7667,-1,0,2,30,28,30,1.73061,1.79328
2,7,1.20854,-1,1,3,16,13,14,1.19377,1.2233
3,30,1.27807,-1,2,4,9,5,7,1.22263,1.32516
4,10,0.453915,-1,3,5,6,1,3,0.259782,0.652037
5,48,0,-1,4,-1,-1,0,0,0,0
6,20,0.201197,1,4,-1,7,0,2,0,0.579269
7,39,0.305192,1,6,-1,8,0,1,0,0.610385
8,35,0,1,7,-1,-1,0,0,0,0
9,15,0.501152,1,3,10,12,2,4,0.323676,0.824183
10,4,0.126021,-1,9,-1,11,0,1,0,0.252041
11,45,0,1,10,-1,-1,0,0,0,0
12,49,0.696901,1,9,13,14,1,2,0.31805,1.07575
13,57,0,-1,12,-1,-1,0,0,0,0
14,42,0.471369,1,12,-1,15,0,1,0,0.942739
15,2,0,1,14,-1,-1,0,0,0,0
16,6,1.17037,1,2,17,23,6,7,1.15925,1.18149
17,50,0.577138,-1,16,18,20,2,3,0.573278,0.580999
18,25,0.49141,-1,17,-1,19,0,1,0,0.982819
19,32,0,1,18,-1,-1,0,0,0,0
20,55,0.388444,1,17,-1,21,0,2,0,1.03115
21,22,0.679164,1,20,-1,22,0,1,0,1.35833
22,52,0,1,21,-1,-1,0,0,0,0
23,19,0.571845,1,16,24,26,2,4,0.269362,0.848239
24,59,0.0922921,-1,23,-1,25,0,1,0,0.184584
25,29,0,1,24,-1,-1,0,0,0,0
26,24,0.233192,1,23,27,28,1,2,0.183932,0.282452
27,47,0,-1,26,-1,-1,0,0,0,0
28,23,0.545773,1,26,-1,29,0,1,0,1.09155
29,53,0,1,28,-1,-1,0,0,0,0
30,28,0.926822,1,1,31,45,14,15,0.881387,0.972256
31,13,0.911512,-1,30,32,38,6,7,0.864503,0.958522
32,5,0.61588,-1,31,33,35,2,3,0.549276,0.682484
33,26,0.0943743,-1,32,-1,34,0,1,0,0.188749
34,14,0,1,33,-1,-1,0,0,0,0
35,16,0.543076,1,32,-1,36,0,2,0,0.700001
36,56,0.4143,1,35,-1,37,0,1,0,0.828601
37,38,0,1,36,-1,-1,0,0,0,0
38,34,0.951862,1,31,39,41,2,4,0.885974,1.07936
39,31,0.458371,-1,38,-1,40,0,1,0,0.916742
40,41,0,1,39,-1,-1,0,0,0,0
41,27,0.301023,1,38,42,43,1,2,0.145446,0.4566
42,40,0,-1,41,-1,-1,0,0,0,0
43,8,0.147214,1,41,-1,44,0,1,0,0.294427
44,33,0,1,43,-1,-1,0,0,0,0
45,11,4.104,1,30,46,52,6,8,3.81384,4.41723
46,46,1.83483,-1,45,47,49,2,3,1.34757,2.32209
47,37,1.13313,-1,46,-1,48,0,1,0,2.26627
48,21,0,1,47,-1,-1,0,0,0,0
49,44,3.93231,1,46,-1,50,0,2,0,4.47341
50,1,0.646862,1,49,-1,51,0,1,0,1.29372
51,58,0,1,50,-1,-1,0,0,0,0
52,3,0.579908,1,45,53,56,3,4,0.406038,0.753779
53,0,0.159,-1,52,-1,54,0,2,0,0.675421
54,36,0.323759,1,53,-1,55,0,1,0,0.647517
55,105,0,1,54,-1,-1,0,0,0,0
56,12,1.09868,1,52,57,58,1,2,0.69872,1.49864
57,90,0,-1,56,-1,-1,0,0,0,0
58,54,0.210842,1,56,-1,59,0,1,0,0.421684
59,62,0,1,58,-1,-1,0,0,0,0
60,77,2.12667,1,0,61,90,29,30,2.11027,2.14307
61,60,0.966371,-1,60,62,75,13,15,0.736668,1.00454
62,95,0.446096,-1,61,63,68,5,7,0.357466,0.460841
63,85,0.453513,-1,62,64,65,1,3,0.119188,0.479585
64,119,0,-1,63,-1,-1,0,0,0,0
65,92,0.204137,1,63,-1,66,0,2,0,0.299373
66,93,0.055107,1,65,-1,67,0,1,0,0.110214
67,73,0,1,66,-1,-1,0,0,0,0
68,82,1.08359,1,62,69,71,2,4,0.954473,1.14785
69,63,0.219985,-1,68,-1,70,0,1,0,0.439969
70,100,0,1,69,-1,-1,0,0,0,0
71,80,0.226212,1,68,72,73,1,2,0.131769,0.320655
72,109,0,-1,71,-1,-1,0,0,0,0
73,110,0.165638,1,71,-1,74,0,1,0,0.331276
74,98,0,1,73,-1,-1,0,0,0,0
75,81,1.0017,1,61,76,82,6,8,0.900667,1.02358
76,61,0.733882,-1,75,77,79,2,3,0.61649,0.851273
77,112,0.258484,-1,76,-1,78,0,1,0,0.516968
78,114,0,1,77,-1,-1,0,0,0,0
79,111,0.32717,1,76,-1,80,0,2,0,1.72172
80,87,0.735587,1,79,-1,81,0,1,0,1.47117
81,72,0,1,80,-1,-1,0,0,0,0
82,65,2.03972,1,75,83,86,3,4,1.91131,2.16813
83,99,1.34918,-1,82,-1,84,0,2,0,1.86108
84,67,1.2318,1,83,-1,85,0,1,0,2.46361
85,116,0,1,84,-1,-1,0,0,0,0
86,118,1.05398,1,82,87,88,1,2,0.359337,1.74861
87,84,0,-1,86,-1,-1,0,0,0,0
88,101,0.0589348,1,86,-1,89,0,1,0,0.11787
89,104,0,1,88,-1,-1,0,0,0,0
90,108,0.992343,1,60,91,105,14,15,0.988745,0.995941
91,86,0.545673,-1,90,92,98,6,7,0.486607,0.60474
92,68,0.315268,-1,91,93,95,2,3,0.211623,0.418913
93,106,0.184411,-1,92,-1,94,0,1,0,0.368822
94,115,0,1,93,-1,-1,0,0,0,0
95,94,0.229852,1,92,-1,96,0,2,0,0.803424
96,96,0.432911,1,95,-1,97,0,1,0,0.865822
97,66,0,1,96,-1,-1,0,0,0,0
98,69,0.545752,1,91,99,101,2,4,0.377238,0.852632
99,117,0.0626006,-1,98,-1,100,0,1,0,0.125201
100,113,0,1,99,-1,-1,0,0,0,0
101,107,1.22079,1,98,102,103,1,2,1.16398,1.2776
102,71,0,-1,101,-1,-1,0,0,0,0
103,97,0.111002,1,101,-1,104,0,1,0,0.222005
104,88,0,1,103,-1,-1,0,0,0,0
105,79,1.43933,1,90,106,112,6,8,1.32162,1.80341
