ID,VP Index,Mediana,L_R,ID_Parent,L_kid,R_kid,L_kid_N,R_kid_N,Left Bound,Right Bound
0,0,2.35357,0,-1,1,7,6,8,2.11559,2.70035
1,7,1.66716,-1,0,2,4,2,3,1.60774,1.72657
2,12,1.03736,-1,1,-1,3,0,1,0,2.07473
3,9,0,1,2,-1,-1,0,0,0,0
4,4,0.714384,1,1,-1,5,0,2,0,1.2921
5,1,0.754158,1,4,-1,6,0,1,0,1.50832
6,10,0,1,5,-1,-1,0,0,0,0
7,2,0.887794,1,0,8,11,3,4,0.822993,0.952595
8,11,0.134057,-1,7,-1,9,0,2,0,0.562052
9,14,0.265276,1,8,-1,10,0,1,0,0.530553
10,13,0,1,9,-1,-1,0,0,0,0
11,8,1.90085,1,7,12,13,1,2,1.23331,2.56839
12,3,0,-1,11,-1,-1,0,0,0,0
13,6,0.717538,1,11,-1,14,0,1,0,1.43508
14,5,0,1,13,-1,-1,0,0,0,0
