ID,VP Index,Mediana,L_R,ID_Parent,L_kid,R_kid,L_kid_N,R_kid_N,Left Bound,Right Bound
0,18,2.54187,0,-1,1,15,14,15,2.34136,2.74238
1,15,1.13464,-1,0,2,8,6,7,1.1286,1.14067
2,19,1.12917,-1,1,3,5,2,3,1.12838,1.12996
3,16,0.408991,-1,2,-1,4,0,1,0,0.817982
4,17,0,1,3,-1,-1,0,0,0,0
5,23,0.725367,1,2,-1,6,0,2,0,1.70985
6,26,0.593219,1,5,-1,7,0,1,0,1.18644
7,22,0,1,6,-1,-1,0,0,0,0
8,21,1.14392,1,1,9,11,2,4,0.948014,2.06993
9,27,0.444011,-1,8,-1,10,0,1,0,0.888022
10,25,0,1,9,-1,-1,0,0,0,0
11,28,1.57642,1,8,12,13,1,2,0.855914,2.29693
12,20,0,-1,11,-1,-1,0,0,0,0
13,29,0.611554,1,11,-1,14,0,1,0,1.22311
14,24,0,1,13,-1,-1,0,0,0,0
15,13,2.60577,1,0,16,22,6,8,2.42249,2.69713
16,1,0.815079,-1,15,17,19,2,3,0.657148,0.97301
17,2,0.465458,-1,16,-1,18,0,1,0,0.930916
18,6,0,1,17,-1,-1,0,0,0,0
19,9,0.427502,1,16,-1,20,0,2,0,0.99722
20,11,0.31933,1,19,-1,21,0,1,0,0.63866
21,8,0,1,20,-1,-1,0,0,0,0
22,3,0.871129,1,15,23,26,3,4,0.862649,0.87961
23,4,0.0326373,-1,22,-1,24,0,2,0,0.937479
24,10,0.458975,1,23,-1,25,0,1,0,0.917951
25,14,0,1,24,-1,-1,0,0,0,0
26,0,0.735385,1,22,27,28,1,2,0.549501,0.921268
27,5,0,-1,26,-1,-1,0,0,0,0
28,12,0.274412,1,26,-1,29,0,1,0,0.548824
29,7,0,1,28,-1,-1,0,0,0,0
